tweetid,authorid,content,lang,date,source,geo,retweetcount,likecount,quotecount
1554369938630103040,1413800950846922757,UnderConstruc11 fergiesperch ArtemisPhoenixx JACFT1 UtdXclusive rioferdy5 fell 6th Ronaldo big team wins trophies want Yet want 38 main striker next year you'll complain us winning trophies Can't make shit up,en,20220802T07 34 06 000Z,Twitter Android,,0,0,0
1554369912428167170,1331632873338793986,"Man Utd transfer news LIVE Frenkie de Jong FINAL bid latest, Cristiano Ronaldo admission, Tielemans interested ",en,20220802T07 34 00 000Z,Publer io,,0,0,0
1554369829414502400,1193232041959186434,sportbible R9 Ronaldinho make smile saw Field Stats course CR7 … loving Football R9 Ronaldinho ️,en,20220802T07 33 40 000Z,Twitter iPhone,,0,0,0
1554369821432840192,727241246465527809,JoshuaUbeku Ronaldo best champions league team ever winning 3 row Poor pessi losing 82 getting sacked dream club,en,20220802T07 33 38 000Z,Twitter Android,,0,0,0
1554369806714867712,1324146514495741952,“From Cristiano Ronaldo’s point view bit unrealistic” ,en,20220802T07 33 35 000Z,WordPress com,,0,0,0
1554369786183688193,1547013739903217664,"AsTheRedsGoOn Idk it’s first time playing it’s solid, don’t captain Ronaldo cus doesn’t perform expect score doesn’t get 2 points max, also might play Sunday, try Harry Kane score assist, mine btw ",en,20220802T07 33 30 000Z,Twitter iPhone,,0,0,0
1554369747772313601,904366551003832320,ronaldombdhf Highlight enti ante anna morphs veyyadu kaani rts chesthadu,en,20220802T07 33 21 000Z,Twitter Android,,0,0,0
1554369726062755840,1135914884275638275,Gotta watch Ronaldo play Slavia Praha Thursday night ,en,20220802T07 33 16 000Z,Twitter iPhone,,0,0,0
1554369699500068869,2959277024,"HaleTheKing06 kattiaolsen1 UtdDistrict TelegraphDucker scored goals ,why refer saved man utd score goals chances given ronaldo cf played man utd several years seen many situation ,where rashford martial would scored, due pace physicality",en,20220802T07 33 09 000Z,Twitter Web App,,0,0,0
1554369695133966337,794844479840780288,"AngryManBirdApp fergiesperch ArtemisPhoenixx JACFT1 UtdXclusive rioferdy5 If think Ronaldo, Di Maria, Sanchez Pogba complete waste money hype Maguire,Shaw, Henderson etc need head completely checked ",en,20220802T07 33 08 000Z,Twitter Android,,0,0,0
1554369675181580288,767584801,"jakep792021 forgiven, Ronaldo smashed kid's cell phone got forgiven day Mason might interested playing football anymore ",en,20220802T07 33 04 000Z,Twitter Android,,0,0,0
1554369669804437504,1349032294854496256,"Former Manchester United forward Louis Saha claimed Cristiano Ronaldo thinking right now, adding Portuguese’s expectations rather unrealistic ",en,20220802T07 33 02 000Z,dlvr it,,0,0,0
1554369648002482176,399989697,"So good see Ronaldo back UTD shirt, I'm hearing Eriksen young guns looking good",en,20220802T07 32 57 000Z,Twitter Android,,0,0,0
