tweetid,authorid,content,lang,date,source,geo,retweetcount,likecount,quotecount
1554150233143132162,1455162370817417221,1xbet sport brasil football money soccer nba vip messi futebol tips casino bet betting gambling bahis sportsbetting tipster bettingtips tipico sbobet futbol melbet xbet betfair unibet sportwetten 1xbet ❌CLİCK HERE❌ //t co/alIc6eV4g8,en,20220801T17 01 04 000Z,Buffer,,0,0,0
1554150210665947136,1482811695462498308,FrankKhalidUK I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T17 00 59 000Z,Twitter Android,,0,0,0
1554150190554103810,1433062655208538115,BelkaceFCB knowledge 202021 version Messi gt version Ronaldo,en,20220801T17 00 54 000Z,Twitter Android,,1,15,0
1554150184300564480,1482811695462498308,UnitedStandMUFC I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T17 00 53 000Z,Twitter Android,,0,0,0
1554150180210896897,1469267549854392325,"Neymar appeared pour cold water reported fallout Paris SaintGermain teammate Kylian Mbappe praising ""difference maker"" Lionel Messi",en,20220801T17 00 52 000Z,Twitter Android,,0,0,0
1554150162641162240,1543901312919764993, Lionel Messi two trophies away becoming jointhighest trophy holder football history GOATGREATEST TIME //t co/Jt7THW32AV,en,20220801T17 00 48 000Z,Twitter Web App,,1,5,0
1554150159101067264,1482811695462498308,TimelineCR7 I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T17 00 47 000Z,Twitter Android,,0,0,0
1554150154680184832,1400205461400395779,theMadridZone Poch owned Messi tweet,en,20220801T17 00 46 000Z,Twitter Android,,0,1,0
1554150150225944578,1550199184866922503,ESPNFC ESPNFC change name Messi Fanclub,en,20220801T17 00 45 000Z,Twitter iPhone,,0,0,0
1554150137773129730,1445114704272240652,RonaldoW7 Messi remembered big game player,en,20220801T17 00 42 000Z,Twitter iPhone,,0,13,0
1554150126079328261,1482811695462498308,sportbible I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T17 00 39 000Z,Twitter Android,,0,0,0
1554150103505666048,1482811695462498308,goal Cristiano ManUtd I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T17 00 34 000Z,Twitter Android,,0,0,0
1554150086573264896,850691533208784896,Iago48610387 DL1886 Warra 5th champions league Messi,en,20220801T17 00 30 000Z,Twitter iPhone,,0,0,0
1554150080806096897,1482811695462498308,cristianopeak I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T17 00 28 000Z,Twitter Android,,0,0,0
1554150073881214976,1461123520893792258,FCBarcelonaes Wow Messi,en,20220801T17 00 26 000Z,Twitter iPhone,,0,2,0
1554150066734174209,1552340700154548228,UTDTrey If messi bad season like last one people give pass Ronaldo would crucified Farmers league gt Messi,en,20220801T17 00 25 000Z,Twitter iPhone,,0,0,0
1554150057905049604,1407602084950675461,"Rudra2812 Nahi , I'm Real Madrid fan I loved Messi btw , Ik sounds quite weirdo I kind Madrid fan impressed Messi consistently performing us",en,20220801T17 00 23 000Z,Twitter Android,,0,1,0
1554150055950565376,1482811695462498308,TimelineCR7 I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T17 00 22 000Z,Twitter Android,,0,0,0
1554150049906663424,1535987107969257472,Follow motivation quotes bible verses daily I follow back drop ️ Lionel Messi ,en,20220801T17 00 21 000Z,Twitter Web App,,0,0,0
1554150044856528896,1440873036035420172,FabrizioRomano Best wingers time 1 Messi 2 El shaarawy roma boy 3 Salah 4 Gervinho 5 George Best 6 Neymar 7 Giggs 8 KDB national team 9 Mbappe 10 Ronaldinho 25 Zaniolo 26 Figo 871 Fatzard 999 Elanga Pristiano penaldo even rated per,en,20220801T17 00 20 000Z,Twitter Android,,1,10,0
1554150042193248256,808285435524947969,"Lionel Messi scored 32 goals 32 finals, absolutely insane ",en,20220801T17 00 19 000Z,Twitter Android,,3,37,0
1554150037780938752,760301757620551680,loganpinedaa ESPNFC Ronaldo much headed goals probably weaker foot goals needs specific I don’t like paying attention stuff bc course messi much assist bc Ronaldo always scoring end goals objectively harder score,en,20220801T17 00 18 000Z,Twitter iPhone,,0,0,0
1554149990783750145,1436748173721145347,"Serqcs BistroBoots MythCristiano cr7raprhymes ESPNFC Using awards Messi needs change league trophies Also FIFA Special, awards created Ronaldo robbed Messi 16/17 UCL top scorer btw ",en,20220801T17 00 07 000Z,Twitter Web App,,0,0,0
1554149973838675968,727483258057846784,"LM7joe10 Ffsluke YuqiSiuuuu AbdeGOAT PSGINT Premier rated 1 big 6 teams it, remaining 14 better teams world competition that’s sure Messi FC clowns playing outside Top 5 leagues wouldn’t understand, dont bother",en,20220801T17 00 03 000Z,Twitter iPhone,,0,0,0
1554149968562098177,1519651339999059969,"PSG fans say baptism new team — worked organized, motivated, playful Galtier unveiled PSG formation without Mbappe, suspension last season Neymar Messi took reins gave team victory‼ ",en,20220801T17 00 01 000Z,Twitter Web App,,0,0,0
1554149966318280704,1424958086658334720,"Jorge20171725 VettelAMR ‘Greatest goalscorer oat’ amount goals year Messi Messi also much better goal game ratio Ronaldo Also, none matters original tweet head head ",en,20220801T17 00 01 000Z,Twitter iPhone,,0,0,0
1554149941093998592,1412613681624453122,"TimelineCR7 United 2021 121 goals 14 seasons CL football , 2nd EPL cr7 demolition Nani Queresma better attackers euro2016 , didn't win single game groups ""best 3rd team"" Messi POTT 4 times 1 wc 2 copa that's ""carrying""",en,20220801T16 59 55 000Z,Twitter Android,,0,0,0
1554149917161046018,1544807207266557953,WonaIdo Better teeth Messi,en,20220801T16 59 49 000Z,Twitter Android,,0,1,0
